500,0,0,0,0,0,0,0,0,15,0
1000,0,0,16,0,0,0,0,15,0,0
1500,0,16,0,0,16,0,15,16,15,0
2000,16,16,15,16,15,16,31,0,31,0
2500,16,0,16,16,31,16,16,15,31,0
3000,63,31,47,32,48,31,16,46,16,47
3500,16,47,63,31,31,47,31,48,31,62
4000,32,46,78,63,82,2,73,114,89,61
4500,61,52,84,48,63,78,110,63,94,94
5000,16,0,1,50,16,140,94,95,109,140
5500,63,140,156,78,47,203,93,110,110,93
6000,109,0,156,220,15,47,79,173,203,15
6500,31,189,15,157,251,249,220,140,158,156
7000,141,172,267,267,202,220,249,64,47,188
7500,140,16,188,234,94,94,109,188,235,140
8000,16,93,187,16,79,94,64,219,312,312
8500,332,379,359,361,251,31,234,125,283,438
9000,31,62,377,437,329,62,111,422,78,454
9500,484,343,203,125,436,328,443,360,438,156
10000,360,407,47,109,298,31,0,485,312,312
