500,0,0,0,1,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,1,0,0
3000,0,0,1,0,0,0,0,0,0,0
3500,0,0,0,0,0,1,0,0,0,0
4000,0,0,0,0,0,1,0,0,0,0
4500,0,0,0,0,1,0,0,0,0,0
5000,0,0,0,0,0,0,1,0,0,0
5500,0,1,0,0,0,0,0,0,0,1
6000,0,0,0,1,0,0,0,0,0,0
6500,0,0,1,0,0,0,0,0,1,0
7000,0,0,0,0,1,0,0,0,1,0
7500,0,0,0,0,1,0,0,0,0,0
8000,1,0,0,0,0,1,0,0,0,1
8500,0,0,0,1,0,0,0,0,0,1
9000,0,0,1,0,0,0,0,1,0,0
9500,0,0,0,0,0,1,0,0,0,0
10000000,311,252,256,176,217,224,276,251,263,225
,265
8000,31,47,172,249,266,234,392,46,250,250
8500,31,327,375,234,327,390,422,46,234,63
9000,281,15,172,328,437,31,517,0,297,156
9500,469,265,515,374,577,250,265,31,16,218
10000,47,406,421,343,159,608,110,46,234,78
